"","Combination","CV_C_L","CV_C_R","CV_S_L","CV_S_R","phi_C_L2R","phi_S_L2R","phi_S2C_L","phi_S2C_R","combo_type","taxa","cv_diff"
"1","Glacier-fed_Glacier-fed_Glacier-fed",1.30390719023368,1.30390719023368,1.30390719023368,1.30390719023368,1,1,1,1,"Homogenous","Periphyton",4.44089209850063e-16
"2","Glacier-fed_Glacier-fed_Rain-fed",1.01044880330379,0.63932161470795,1.01044880330379,0.63932161470795,0.632710546657688,0.632710546657688,1,1,"2:1","Periphyton",0.371127188595844
"3","Glacier-fed_Glacier-fed_Snow-fed",0.914325003347127,0.61758933948043,0.914325003347127,0.61758933948043,0.675459313941522,0.675459313941522,1,1,"2:1","Periphyton",0.296735663866697
"4","Glacier-fed_Rain-fed_Rain-fed",0.870024232244189,0.64987117412742,0.870024232244189,0.64987117412742,0.746957555941984,0.746957555941984,1,1,"2:1","Periphyton",0.220153058116768
"5","Glacier-fed_Rain-fed_Snow-fed",0.79237746781305,0.449430655227167,0.79237746781305,0.449430655227167,0.567192624075479,0.567192624075479,1,1,"Heterogenous","Periphyton",0.342946812585883
"6","Glacier-fed_Snow-fed_Snow-fed",0.705327439749535,0.47875430645953,0.705327439749535,0.47875430645953,0.678768866031268,0.678768866031268,1,1,"2:1","Periphyton",0.226573133290006
"7","Rain-fed_Rain-fed_Rain-fed",0.787683831261504,0.787683831261504,0.787683831261504,0.787683831261504,1,1,1,1,"Homogenous","Periphyton",0
"8","Rain-fed_Rain-fed_Snow-fed",0.723129050708736,0.613061631150289,0.723129050708736,0.613061631150289,0.847790073638212,0.847790073638212,1,1,"2:1","Periphyton",0.110067419558446
"9","Rain-fed_Snow-fed_Snow-fed",0.652524845586876,0.514405205556407,0.652524845586876,0.514405205556407,0.788330450611049,0.788330450611049,1,1,"2:1","Periphyton",0.138119640030469
"10","Snow-fed_Snow-fed_Snow-fed",0.574979077987245,0.574979077987245,0.574979077987245,0.574979077987245,1,1,1,1,"Homogenous","Periphyton",0
"11","Glacier-fed_Glacier-fed_Glacier-fed",0.974202122067617,0.974202122067617,0.974202122067617,0.974202122067617,1,1,1,1,"Homogenous","Detritus",-2.22044604925031e-16
"12","Glacier-fed_Glacier-fed_Rain-fed",0.839625209760378,0.678352207326617,0.839625209760378,0.678352207326617,0.807922629574466,0.807922629574466,1,1,"2:1","Detritus",0.161273002433761
"13","Glacier-fed_Glacier-fed_Snow-fed",0.717914829670955,0.59460734656099,0.717914829670955,0.59460734656099,0.828242184150896,0.828242184150896,1,1,"2:1","Detritus",0.123307483109965
"14","Glacier-fed_Rain-fed_Rain-fed",0.745034622621381,0.614494702275555,0.745034622621381,0.614494702275555,0.824786773148172,0.824786773148172,1,1,"2:1","Detritus",0.130539920345826
"15","Glacier-fed_Rain-fed_Snow-fed",0.644505895582655,0.491137450360857,0.644505895582655,0.491137450360857,0.762037172548828,0.762037172548828,1,1,"Heterogenous","Detritus",0.153368445221799
"16","Glacier-fed_Snow-fed_Snow-fed",0.551806375598794,0.441117187663764,0.551806375598794,0.441117187663764,0.79940574659922,0.79940574659922,1,1,"2:1","Detritus",0.11068918793503
"17","Rain-fed_Rain-fed_Rain-fed",0.67491403705192,0.67491403705192,0.67491403705192,0.67491403705192,1,1,1,1,"Homogenous","Detritus",-1.11022302462516e-16
"18","Rain-fed_Rain-fed_Snow-fed",0.589413943825745,0.54486138994398,0.589413943825745,0.54486138994398,0.924412114188231,0.924412114188231,1,1,"2:1","Detritus",0.0445525538817648
"19","Rain-fed_Snow-fed_Snow-fed",0.509770327158004,0.461230009167116,0.509770327158004,0.461230009167116,0.904780024640699,0.904780024640699,1,1,"2:1","Detritus",0.0485403179908879
"20","Snow-fed_Snow-fed_Snow-fed",0.435401388482069,0.435401388482069,0.435401388482069,0.435401388482069,1,1,1,1,"Homogenous","Detritus",0
